step,run_id,loss,grad_norm,clipped_grad_norm,learning_rate,update_norm,param_norm,tokens,optimizer_step_applied
0,tiny-transformer-normal-7,3.6719326972961426,1.007941484451294,0.9999990463256836,0.002,0.41055652499198914,56.65966033935547,288,True
1,tiny-transformer-normal-7,3.522101402282715,0.97532057762146,0.9753206372261047,0.002,0.34940269589424133,56.658203125,288,True
2,tiny-transformer-normal-7,3.343733549118042,0.9292222261428833,0.9292222261428833,0.002,0.3347831070423126,56.65830612182617,288,True
3,tiny-transformer-normal-7,3.2462635040283203,1.015081763267517,0.9999991059303284,0.002,0.31867751479148865,56.66047286987305,288,True
4,tiny-transformer-normal-7,3.1139729022979736,0.924515962600708,0.924515962600708,0.002,0.31092891097068787,56.664390563964844,288,True
5,tiny-transformer-normal-7,3.018831729888916,0.9119659662246704,0.9119660258293152,0.002,0.30916494131088257,56.66968536376953,288,True
6,tiny-transformer-normal-7,2.874922513961792,0.9459362626075745,0.9459363222122192,0.002,0.3059470057487488,56.67664337158203,288,True
7,tiny-transformer-normal-7,2.7817463874816895,0.8813122510910034,0.8813121914863586,0.002,0.3068784177303314,56.685020446777344,288,True
8,tiny-transformer-normal-7,2.666513442993164,0.9114828705787659,0.9114829301834106,0.002,0.30555853247642517,56.69504928588867,288,True
9,tiny-transformer-normal-7,2.5693671703338623,0.9023519158363342,0.9023519158363342,0.002,0.3055310845375061,56.706199645996094,288,True
10,tiny-transformer-normal-7,2.47699236869812,0.8850354552268982,0.8850354552268982,0.002,0.304567813873291,56.71851348876953,288,True
11,tiny-transformer-normal-7,2.335756540298462,0.8999384641647339,0.8999384045600891,0.002,0.30369290709495544,56.7324333190918,288,True
12,tiny-transformer-normal-7,2.184750556945801,0.8699636459350586,0.8699636459350586,0.002,0.30329445004463196,56.747894287109375,288,True
13,tiny-transformer-normal-7,2.066530466079712,0.8741613030433655,0.874161422252655,0.002,0.3003925681114197,56.765052795410156,288,True
14,tiny-transformer-normal-7,1.9944850206375122,0.8838866949081421,0.8838868141174316,0.002,0.29956871271133423,56.783817291259766,288,True
15,tiny-transformer-normal-7,1.8966325521469116,0.8481189608573914,0.8481190204620361,0.002,0.2983543276786804,56.80411911010742,288,True
16,tiny-transformer-normal-7,1.7929030656814575,0.8385708332061768,0.8385708332061768,0.002,0.29662856459617615,56.82588195800781,288,True
17,tiny-transformer-normal-7,1.659721851348877,0.8351146578788757,0.8351146578788757,0.002,0.2950904667377472,56.84899139404297,288,True
18,tiny-transformer-normal-7,1.5684101581573486,0.8113836646080017,0.8113837242126465,0.002,0.29291027784347534,56.873435974121094,288,True
19,tiny-transformer-normal-7,1.4751629829406738,0.800600528717041,0.800600528717041,0.002,0.29082706570625305,56.89907455444336,288,True
20,tiny-transformer-normal-7,1.3791285753250122,0.8246911764144897,0.8246912360191345,0.002,0.2862655222415924,56.92565155029297,288,True
21,tiny-transformer-normal-7,1.289565920829773,0.7480466961860657,0.7480466365814209,0.002,0.28323107957839966,56.952919006347656,288,True
22,tiny-transformer-normal-7,1.2070726156234741,0.7257023453712463,0.7257022857666016,0.002,0.27918070554733276,56.98074722290039,288,True
23,tiny-transformer-normal-7,1.0979533195495605,0.6947150826454163,0.694715142250061,0.002,0.2746177315711975,57.00909423828125,288,True
24,tiny-transformer-normal-7,1.0494799613952637,0.6892683506011963,0.6892683506011963,0.002,0.2707585394382477,57.03779983520508,288,True
25,tiny-transformer-normal-7,0.9770375490188599,0.679976224899292,0.679976224899292,0.002,0.2664772570133209,57.06658172607422,288,True
26,tiny-transformer-normal-7,0.9324833750724792,0.6493077278137207,0.6493076682090759,0.002,0.261079341173172,57.095176696777344,288,True
27,tiny-transformer-normal-7,0.8475040793418884,0.6375850439071655,0.6375849843025208,0.002,0.2552562355995178,57.12376403808594,288,True
28,tiny-transformer-normal-7,0.7829861044883728,0.6023530960083008,0.602353036403656,0.002,0.2504744529724121,57.15210723876953,288,True
29,tiny-transformer-normal-7,0.7119495868682861,0.5801001191139221,0.5801001191139221,0.002,0.24487297236919403,57.18035888671875,288,True
30,tiny-transformer-normal-7,0.6617938280105591,0.5424737334251404,0.5424736738204956,0.002,0.23924916982650757,57.2081413269043,288,True
31,tiny-transformer-normal-7,0.6318327784538269,0.5412100553512573,0.5412100553512573,0.002,0.234345942735672,57.23553466796875,288,True
32,tiny-transformer-normal-7,0.5979021787643433,0.5136889815330505,0.5136889815330505,0.002,0.22951127588748932,57.262386322021484,288,True
33,tiny-transformer-normal-7,0.5407770276069641,0.47717857360839844,0.47717857360839844,0.002,0.2230023294687271,57.288734436035156,288,True
34,tiny-transformer-normal-7,0.5045272707939148,0.4766855835914612,0.4766855835914612,0.002,0.21784208714962006,57.314476013183594,288,True
35,tiny-transformer-normal-7,0.4591122269630432,0.43366923928260803,0.43366923928260803,0.002,0.21141530573368073,57.33958435058594,288,True
36,tiny-transformer-normal-7,0.4176436960697174,0.4113457202911377,0.4113457202911377,0.002,0.20506098866462708,57.364044189453125,288,True
37,tiny-transformer-normal-7,0.3844772279262543,0.38580307364463806,0.38580307364463806,0.002,0.19891594350337982,57.3878173828125,288,True
38,tiny-transformer-normal-7,0.38461172580718994,0.39390799403190613,0.39390796422958374,0.002,0.1938878893852234,57.41084289550781,288,True
39,tiny-transformer-normal-7,0.3358239531517029,0.3509787321090698,0.35097870230674744,0.002,0.1874784678220749,57.43300247192383,288,True
40,tiny-transformer-normal-7,0.31885313987731934,0.3650623559951782,0.3650623857975006,0.002,0.18162614107131958,57.4543571472168,288,True
41,tiny-transformer-normal-7,0.28653013706207275,0.3212042450904846,0.3212042450904846,0.002,0.1753167062997818,57.474971771240234,288,True
42,tiny-transformer-normal-7,0.28382858633995056,0.3127388060092926,0.312738835811615,0.002,0.169663205742836,57.49482345581055,288,True
43,tiny-transformer-normal-7,0.25951138138771057,0.28778761625289917,0.28778761625289917,0.002,0.16441404819488525,57.513946533203125,288,True
44,tiny-transformer-normal-7,0.2549346387386322,0.3046380877494812,0.3046380877494812,0.002,0.16021783649921417,57.5323486328125,288,True
45,tiny-transformer-normal-7,0.22295182943344116,0.2595019042491913,0.25950193405151367,0.002,0.15342864394187927,57.550174713134766,288,True
46,tiny-transformer-normal-7,0.20930206775665283,0.24667981266975403,0.24667981266975403,0.002,0.14818446338176727,57.5672607421875,288,True
47,tiny-transformer-normal-7,0.1922849416732788,0.22568009793758392,0.22568011283874512,0.002,0.14212661981582642,57.583736419677734,288,True
48,tiny-transformer-normal-7,0.17847205698490143,0.21604026854038239,0.21604026854038239,0.002,0.13693928718566895,57.599586486816406,288,True
49,tiny-transformer-normal-7,0.16859261691570282,0.20727436244487762,0.20727436244487762,0.002,0.1314646303653717,57.6148681640625,288,True
50,tiny-transformer-normal-7,0.16147327423095703,0.19942161440849304,0.19942161440849304,0.002,0.1262412667274475,57.62949752807617,288,True
51,tiny-transformer-normal-7,0.15469978749752045,0.1914215236902237,0.1914215236902237,0.002,0.12154624611139297,57.64346694946289,288,True
52,tiny-transformer-normal-7,0.14351457357406616,0.18092776834964752,0.18092775344848633,0.002,0.11733595281839371,57.65690612792969,288,True
53,tiny-transformer-normal-7,0.1336742341518402,0.17029094696044922,0.1702909618616104,0.002,0.11236293613910675,57.66977310180664,288,True
54,tiny-transformer-normal-7,0.1260930597782135,0.16163025796413422,0.1616302728652954,0.002,0.10778115689754486,57.68206787109375,288,True
55,tiny-transformer-normal-7,0.12127050012350082,0.15724481642246246,0.15724481642246246,0.002,0.10360535234212875,57.693763732910156,288,True
56,tiny-transformer-normal-7,0.11787549406290054,0.15263277292251587,0.15263277292251587,0.002,0.09989536553621292,57.70494842529297,288,True
57,tiny-transformer-normal-7,0.10853436589241028,0.1417222023010254,0.1417222023010254,0.002,0.09565503150224686,57.71565628051758,288,True
58,tiny-transformer-normal-7,0.10657420009374619,0.13973857462406158,0.13973857462406158,0.002,0.09175240248441696,57.72589111328125,288,True
59,tiny-transformer-normal-7,0.09926707297563553,0.13072773814201355,0.13072773814201355,0.002,0.08822346478700638,57.735633850097656,288,True
60,tiny-transformer-normal-7,0.09479980170726776,0.12756773829460144,0.12756773829460144,0.002,0.08476129919290543,57.74489212036133,288,True
61,tiny-transformer-normal-7,0.09302700310945511,0.1256115585565567,0.1256115585565567,0.002,0.08171257376670837,57.75366973876953,288,True
62,tiny-transformer-normal-7,0.08640629053115845,0.11631898581981659,0.11631899327039719,0.002,0.07871699333190918,57.76205062866211,288,True
63,tiny-transformer-normal-7,0.0814184918999672,0.10946768522262573,0.10946769267320633,0.002,0.0753718763589859,57.770057678222656,288,True
64,tiny-transformer-normal-7,0.08212640881538391,0.11184311658143997,0.11184311658143997,0.002,0.0730343759059906,57.77768325805664,288,True
65,tiny-transformer-normal-7,0.07705613225698471,0.1072109267115593,0.1072109267115593,0.002,0.07022599875926971,57.7849235534668,288,True
66,tiny-transformer-normal-7,0.07409615814685822,0.10174143314361572,0.10174144059419632,0.002,0.06759623438119888,57.79181671142578,288,True
67,tiny-transformer-normal-7,0.0695711001753807,0.09744259715080261,0.09744260460138321,0.002,0.06492935121059418,57.798404693603516,288,True
68,tiny-transformer-normal-7,0.0668703019618988,0.09337278455495834,0.09337278455495834,0.002,0.062475912272930145,57.80465316772461,288,True
69,tiny-transformer-normal-7,0.06619546562433243,0.09308744221925735,0.09308744221925735,0.002,0.06043494492769241,57.81062316894531,288,True
70,tiny-transformer-normal-7,0.06286456435918808,0.08793506026268005,0.08793506026268005,0.002,0.057999372482299805,57.81629943847656,288,True
71,tiny-transformer-normal-7,0.06133895367383957,0.08588696271181107,0.08588696271181107,0.002,0.055953528732061386,57.82171630859375,288,True
72,tiny-transformer-normal-7,0.060425836592912674,0.08483852446079254,0.08483852446079254,0.002,0.05415715277194977,57.82688522338867,288,True
73,tiny-transformer-normal-7,0.05803097039461136,0.08112622797489166,0.08112622797489166,0.002,0.0524296760559082,57.83182907104492,288,True
74,tiny-transformer-normal-7,0.05552830919623375,0.08025486022233963,0.08025486022233963,0.002,0.0506366565823555,57.8365592956543,288,True
75,tiny-transformer-normal-7,0.05418975651264191,0.07722506672143936,0.07722505927085876,0.002,0.04901612177491188,57.84107208251953,288,True
76,tiny-transformer-normal-7,0.05182908475399017,0.07596611976623535,0.07596611976623535,0.002,0.04731236770749092,57.84535598754883,288,True
77,tiny-transformer-normal-7,0.052712440490722656,0.07764188945293427,0.07764188200235367,0.002,0.04579848051071167,57.84947967529297,288,True
78,tiny-transformer-normal-7,0.05049493536353111,0.07210254669189453,0.07210254669189453,0.002,0.044393762946128845,57.85343551635742,288,True
79,tiny-transformer-normal-7,0.04902388155460358,0.07095715403556824,0.07095715403556824,0.002,0.043123066425323486,57.857215881347656,288,True
80,tiny-transformer-normal-7,0.046823158860206604,0.06822791695594788,0.06822790950536728,0.002,0.041882846504449844,57.86082077026367,288,True
81,tiny-transformer-normal-7,0.047029878944158554,0.06964002549648285,0.06964002549648285,0.002,0.040823839604854584,57.86427307128906,288,True
82,tiny-transformer-normal-7,0.045796800404787064,0.06780867278575897,0.06780867278575897,0.002,0.03994319960474968,57.86758804321289,288,True
83,tiny-transformer-normal-7,0.04355910047888756,0.06326503306627274,0.06326503306627274,0.002,0.038842808455228806,57.870784759521484,288,True
